Item                                , Quantity         , Cost (USD), Purchase Link                                                                                                                 , 
1N4148 Diodes                       , 90 Pack          , 1.52      , https://stackskb.com/store/1n4148-through-hole-diode/                                                                         , 
Akko Bittersweet Switch             , 90 Pack          , 34        , https://stackskb.com/store/akko-bittersweet-switch-pack-of-45/                                                                , 
EC11 Rotary Encoder                 , 1                , 0.43      , https://www.flyrobo.in/ec11-rotary-encoder-half-shaft-handle-potentiometer-15mm                                               , 
Orpheus Pico                        , 1                , -         , Hack Club                                                                                                                     , 
Gateron Hotswap Sockets             , 90 Pack          , 10.3      , https://stackskb.com/store/gateron-hotswap-sockets/                                                                           , 
Durock v2 Stabilizers Set           , 1                , 17.98     , https://stackskb.com/store/durock-clear-screw-in-stabilizers-v2/?attribute_combination=4%2B1+Set&attribute_spacebar-size=6.25U, 
Keycap Set                          , 1                , 22.29     , https://curiositycaps.in/products/apollo-inspired-quality-cherry-doubleshot-pbt-keycaps?variant=51076299850009                , 
Socket Head M3x12 Screws            , 3x2              , 0.3       , https://onlyscrews.in/products/hex-allen-socket-head-m3-x-12-screw-pack-of-20                                                 , 
Socket Head M3x25 Screws            , 3x2              , 0.3       , https://onlyscrews.in/products/m3-x-25mm-hex-allen-socket-head-ss-304-screw                                                   , 
M3 X 4mm Brass Threaded Inserts     , 6x2              , 0.3       , https://onlyscrews.in/products/m4-x-4mm-brass-threaded-inserts                                                                , 
"Bottom Case, Top Case, Plate, Knob", 1                , -         , (3D Printed)                                                                                                                  , 
PCB (PCB Power)                     , 1                , 58.2      , https://www.pcbpower.com/                                                                                                     , 
                                    , Components Total:, 145.92    ,                                                                                                                               , 
Shipping:                           , OnlyScrews       , 0.68      ,                                                                                                                               , 
                                    , Stackskb         , 0         ,                                                                                                                               , 
                                    , FlyRobo          , 0.67      ,                                                                                                                               , 
                                    , Curiosity Caps   , 0         ,                                                                                                                               , 
                                    , PCB Power        , 0         ,                                                                                                                               , 
                                    , Shipping Total:  , 1.35      ,                                                                                                                               , 
                                    , Total:           , 146.97    ,                                                                                                                               , 
